winery,winename,country,region,rating,numberOfRatings,wineHtmlLink
Marina Coppi,Francesca 2018,Italy,Piemonte,3.7,28,https://www.vivino.com/marina-coppi-francesca/w/5071984?year=2018&price_id=20889976
Castell del Remei,Costers Del Segre ODA 2017,Spain,Costers del Segre,3.7,28,https://www.vivino.com/castell-del-remei-costers-del-segre-oda/w/1615?year=2017&price_id=19441497
Cantina Vignuolo,Castel del Monte Rosso Biologico 2016,Italy,Castel del Monte,3.7,28,https://www.vivino.com/cantina-vignuolo-castel-del-monte-rosso-biologico/w/5683139?year=2016&price_id=17225652
Maria Pia Castelli,Lorano 2015,Italy,Marche,3.7,27,https://www.vivino.com/maria-pia-castelli-lorano/w/1197867?year=2015&price_id=20890136
Babich,Winemakers' Reserve Pinot Noir 2018,New Zealand,Marlborough,3.7,27,https://www.vivino.com/babich-wines-limited-winemakers-reserve-pinot-noir/w/22213?year=2018&price_id=21220380
Bruno Rocca,Trifolé Dolcetto d'Alba 2018,Italy,Dolcetto d'Alba,3.7,27,https://www.vivino.com/bruno-rocca-trifole-dolcetto-d-alba/w/88475?year=2018&price_id=20190523
Ripanero,SanZaVino Rosso Basilicata 2014,Italy,Basilicata,3.7,26,https://www.vivino.com/ripanero-sanzavino-rosso-basilicata/w/4317200?year=2014&price_id=13149783
La Spinetta,Il Nero di Casanova Toscana Sangiovese 2015,Italy,Toscana,3.7,26,https://www.vivino.com/la-spinetta-il-nero-di-casanova-toscana-sangiovese/w/15198?year=2015&price_id=18436066
Fattoria Zerbina,Torre di Ceparano Sangiovese di Romagna Superiore 2015,Italy,Sangiovese di Romagna,3.7,25,https://www.vivino.com/fattoria-zerbina-torre-di-ceparano-sangiovese-di-romagna-superiore/w/1632252?year=2015&price_id=21516536
Raul Calvo Beltran,Crianza 2017,Spain,Ribera del Duero,3.7,25,https://www.vivino.com/raul-calvo-beltran-crianza-ribera-del-duero/w/1383227?year=2017&price_id=17217430
Jean-Michel Gerin,La Champine Syrah 2013,France,Rhone Valley,3.7,30,https://www.vivino.com/jean-michel-gerin-la-champine-syrah/w/4723243?year=2013&price_id=11159100
Rutini,Trumpeter Malbec 2015,Argentina,Mendoza,3.6,4978,https://www.vivino.com/ar-rutini-trumpeter-malbec/w/16511?year=2015&price_id=8392514
Cune (CVNE),Crianza 2016,Spain,Rioja,3.6,4790,https://www.vivino.com/cune-cvne-crianza/w/1135311?year=2016&price_id=13222926
Tenuta San Guido,Le Difese 2014,Italy,Toscana,3.6,3908,https://www.vivino.com/tenuta-san-guido-le-difese/w/5076?year=2014&price_id=9906205
Marqués de Riscal,Arienzo Rioja Crianza 2014,Spain,Rioja,3.6,3494,https://www.vivino.com/marques-de-riscal-arienzo-rioja-crianza/w/1852661?year=2014&price_id=21437593
Bodegas Faustino,Crianza 2016,Spain,Rioja,3.6,2673,https://www.vivino.com/bodegas-faustino-crianza/w/1142455?year=2016&price_id=17986211
Ricasoli,Brolio Chianti Classico 2014,Italy,Chianti Classico,3.6,2650,https://www.vivino.com/ricasoli-brolio-chianti-classico/w/1166103?year=2014&price_id=19672992
Hacienda López de Haro,Crianza 2016,Spain,Rioja,3.6,2113,https://www.vivino.com/hacienda-lopez-de-haro-crianza/w/1224522?year=2016&price_id=13604096
Lindeman's,Bin 50 Shiraz 2016,Australia,South Eastern Australia,3.6,1897,https://www.vivino.com/lindemans-bin-50-shiraz/w/2156?year=2016&price_id=15542082
Piccini,Collezione Oro Chianti Riserva 2016,Italy,Chianti,3.6,1640,https://www.vivino.com/piccini-collezione-oro-chianti-riserva/w/1565434?year=2016&price_id=20003625
Château Recougne,Bordeaux Supérieur 2016,France,Bordeaux Supérieur,3.6,1602,https://www.vivino.com/recougne-bordeaux-superieur/w/1125489?year=2016&price_id=17987943
Joseph Drouhin,Laforet Bourgogne Pinot Noir 2017,France,Bourgogne,3.6,1551,https://www.vivino.com/joseph-drouhin-laforet-bourgogne-pinot-noir/w/24115?year=2017&price_id=18384192
Isla Negra,Cabernet Sauvignon - Merlot West Bay 2017,Chile,Central Valley,3.6,1240,https://www.vivino.com/isla-negra-cabernet-sauvignon-merlot-west-bay/w/3115103?year=2017&price_id=16804550
Viña Pomal,Crianza 2016,Spain,Rioja,3.6,1208,https://www.vivino.com/pomal-crianza/w/1126216?year=2016&price_id=19942644
Marqués de Riscal,Arienzo Rioja Crianza 2016,Spain,Rioja,3.6,1049,https://www.vivino.com/marques-de-riscal-arienzo-rioja-crianza/w/1852661?year=2016&price_id=13955991
6Ft6 (Six Foot Six),Pinot Noir N.V.,Australia,Geelong,3.6,982,https://www.vivino.com/six-ft6-six-foot-six-pinot-noir/w/4233460?year=N.V.&price_id=17086561
Altos Las Hormigas,Malbec (Clásico) 2018,Argentina,Mendoza,3.6,980,https://www.vivino.com/altos-las-hormigas-malbec-clasico/w/1157077?year=2018&price_id=21204862
Torres,Atrium Merlot 2016,Spain,Penedès,3.6,954,https://www.vivino.com/torres-atrium-merlot/w/2651?year=2016&price_id=16511160
Villa Wolf,Pinot Noir 2017,Germany,Pfalz,3.6,928,https://www.vivino.com/wolf-pinot-noir/w/1551962?year=2017&price_id=18281670
Legaris,Ribera del Duero Roble 2018,Spain,Ribera del Duero,3.6,818,https://www.vivino.com/legaris-ribera-del-duero-roble/w/1134266?year=2018&price_id=19572450
Banfi,Rosso di Montalcino 2018,Italy,Rosso di Montalcino,3.6,742,https://www.vivino.com/banfi-rosso-di-montalcino/w/22918?year=2018&price_id=20856504
Dominio de Eguren,Protocolo Tinto 2017,Spain,Castilla,3.6,723,https://www.vivino.com/eguren-1819-protocolo-tinto/w/1207654?year=2017&price_id=18295191
Lungarotti,Rubesco Rosso di Torgiano 2017,Italy,Torgiano,3.6,701,https://www.vivino.com/lungarotti-rubesco-rosso-di-torgiano/w/65204?year=2017&price_id=20548218
Osborne,Solaz Tempranillo - Cabernet Sauvignon 2018,Spain,Castilla,3.6,689,https://www.vivino.com/osborne-solaz-tempranillo-cabernet-sauvignon/w/81714?year=2018&price_id=20807119
Masciarelli,Montepulciano d'Abruzzo 2017,Italy,Montepulciano d'Abruzzo,3.6,676,https://www.vivino.com/masciarelli-abruzzo-montepulciano-d-abruzzo/w/93061?year=2017&price_id=21254918
Castello di Querceto,Chianti Classico 2016,Italy,Chianti Classico,3.6,670,https://www.vivino.com/castello-di-querceto-chianti-classico/w/15636?year=2016&price_id=17174901
Beringer,Founders' Estate Merlot 2017,United States,California,3.6,629,https://www.vivino.com/beringer-vineyards-founders-estate-merlot/w/1531?year=2017&price_id=18460710
Castello di Monsanto,Chianti Classico 2013,Italy,Chianti Classico,3.6,610,https://www.vivino.com/monsanto-chianti-classico/w/1155258?year=2013&price_id=11133162
Robert Mondavi Private Selection,Pinot Noir 2018,United States,California,3.6,607,https://www.vivino.com/robert-mondavi-private-selection-pinot-noir/w/4003?year=2018&price_id=20988887
Castello di Querceto,Chianti Classico 2017,Italy,Chianti Classico,3.6,604,https://www.vivino.com/castello-di-querceto-chianti-classico/w/15636?year=2017&price_id=21013656
Château Clinet,Ronan by Clinet Bordeaux 2015,France,Bordeaux,3.6,540,https://www.vivino.com/chateau-clinet-ronan-by-clinet-bordeaux/w/1170219?year=2015&price_id=18450021
Alto Estate,Rouge 2013,South Africa,Stellenbosch,3.6,536,https://www.vivino.com/alto-estate-rouge/w/23064?year=2013&price_id=8024983
Casa Silva,Cabernet Sauvignon - Carmenère 2015,Chile,Colchagua Valley,3.6,534,https://www.vivino.com/casa-silva-cabernet-sauvignon-carmenere/w/1228056?year=2015&price_id=16698781
Grand Bateau,Bordeaux 2015,France,Bordeaux,3.6,533,https://www.vivino.com/grand-bateau-bordeaux/w/1300354?year=2015&price_id=17175488
Bodegas Nekeas,El Chaparral de Vega Sindoa Old Vines Garnacha 2013,Spain,Navarra,3.6,528,https://www.vivino.com/nekeas-el-chaparral-de-vega-sindoa-old-vines-garnacha/w/2032695?year=2013&price_id=7768468
Marques de Vitoria,Rioja Crianza 2016,Spain,Rioja,3.6,516,https://www.vivino.com/marques-de-vitoria-rioja-crianza/w/1488465?year=2016&price_id=18664740
Casa Silva,Colección Cabernet Sauvignon 2015,Chile,Colchagua Valley,3.6,514,https://www.vivino.com/casa-silva-coleccion-cabernet-sauvignon/w/1646086?year=2015&price_id=16698533
Hacienda López de Haro,Crianza 2017,Spain,Rioja,3.6,514,https://www.vivino.com/hacienda-lopez-de-haro-crianza/w/1224522?year=2017&price_id=20743313
Xavier Vignon,Côtes du Rhône 2016,France,Côtes-du-Rhône,3.6,503,https://www.vivino.com/xavier-vignon-cotes-du-rhone/w/1189529?year=2016&price_id=11849254
Dashwood,Pinot Noir 2018,New Zealand,Marlborough,3.6,496,https://www.vivino.com/dashwood-pinot-noir/w/1711310?year=2018&price_id=18967112
Roquebrun,Chemin des Olivettes Coteaux du Languedoc 2018,France,Languedoc,3.6,460,https://www.vivino.com/roquebrun-chemin-des-olivettes-coteaux-du-languedoc/w/1160968?year=2018&price_id=19577418
Carussin,Asinoi Barbera d'Asti 2018,Italy,Barbera d'Asti,3.6,453,https://www.vivino.com/carussin-asinoi-barbera-d-asti/w/78601?year=2018&price_id=19862611
Iovine,Gragnano N.V.,Italy,Campania,3.6,449,https://www.vivino.com/iovine-gragnano/w/1827560?year=N.V.&price_id=11133547
Comando G,El Hombre Bala 2016,Spain,Madrid,3.6,442,https://www.vivino.com/comando-g-el-hombre-bala-comunidad-de-madrid/w/1370085?year=2016&price_id=17498279
Avignonesi,Rosso di Montepulciano 2017,Italy,Rosso di Montepulciano,3.6,441,https://www.vivino.com/avignonesi-rosso-di-montepulciano/w/1235243?year=2017&price_id=19297051
Raúl Pérez,Castro Ventosa El Castro de Valtuille Mencía Joven 2017,Spain,Bierzo,3.6,430,https://www.vivino.com/raul-perez-castro-ventosa-el-castro-de-valtuille-mencia-joven/w/1151531?year=2017&price_id=16008014
No Evil,Speak No Evil Shiraz N.V.,Australia,McLaren Vale,3.6,428,https://www.vivino.com/no-evil-speak-no-evil-shiraz/w/5643867?year=N.V.&price_id=17086857
Les Dauphins,Côtes du Rhône Réserve Rouge 2018,France,Côtes-du-Rhône,3.6,399,https://www.vivino.com/fr-les-dauphins-cotes-du-rhone-reserve-rouge/w/2279736?year=2018&price_id=21437183
Vizcarra,Ribera del Duero Senda del Oro 2018,Spain,Ribera del Duero,3.6,385,https://www.vivino.com/vizcarra-ribera-del-duero-senda-del-oro/w/1633909?year=2018&price_id=18705844
Il Palazzo,Chianti 2016,Italy,Chianti,3.6,374,https://www.vivino.com/il-palazzo-chianti/w/1748909?year=2016&price_id=15427736
Campillo,Crianza Rioja 2016,Spain,Rioja,3.6,364,https://www.vivino.com/campillo-crianza-rioja/w/1207136?year=2016&price_id=21376353
Kaiken,Cabernet Sauvignon 2018,Argentina,Mendoza,3.6,358,https://www.vivino.com/kaiken-sa-cabernet-sauvignon/w/1287475?year=2018&price_id=20611703
Molino,Loreto Barbera d'Asti N.V.,Italy,Barbera d'Asti,3.6,356,https://www.vivino.com/molino-104975-loreto-barbera-d-asti/w/1514450?year=N.V.&price_id=2675630
Weninger,Horitschoner Blaufränkisch 2015,Austria,Mittelburgenland,3.6,349,https://www.vivino.com/weninger-horitschoner-blaufrankisch/w/1583942?year=2015&price_id=17459692
Masi,Modello delle Venezie Refosco - Merlot 2017,Italy,delle Venezie,3.6,342,https://www.vivino.com/it-masi-modello-delle-venezie-refosco-merlot/w/5420785?year=2017&price_id=18375640
Bodegas Valdemar,Finca del Marquesado Crianza 2015,Spain,Rioja,3.6,335,https://www.vivino.com/bodegas-valdemar-finca-del-marquesado-crianza/w/1774637?year=2015&price_id=19297037
Feudi di San Gregorio,Lacryma Christi Rosso 2018,Italy,Vesuvio,3.6,300,https://www.vivino.com/feudi-di-san-gregorio-lacryma-christi-rosso/w/9621?year=2018&price_id=19235872
Casadei,Armonia Toscana 2016,Italy,Toscana,3.6,294,https://www.vivino.com/casadei-armonia-toscana/w/1227696?year=2016&price_id=14928764
Torre dei Beati,Montepulciano d'Abruzzo 2016,Italy,Montepulciano d'Abruzzo,3.6,275,https://www.vivino.com/torre-dei-beati-montepulciano-d-abruzzo/w/1136094?year=2016&price_id=17561441
Vetus,Flor de Vetus 2017,Spain,Toro,3.6,273,https://www.vivino.com/grupo-artevino-flor-de-vetus/w/1211850?year=2017&price_id=20183599
Michele Chiarlo,Barbera d'Asti Le Orme 2017,Italy,Barbera d'Asti,3.6,263,https://www.vivino.com/michele-chiarlo-barbera-d-asti-le-orme-barbera-dasti-red-wine-v/w/86571?year=2017&price_id=19732601
Rocca di Castagnoli,Chianti Classico 2015,Italy,Chianti Classico,3.6,260,https://www.vivino.com/rocca-di-castagnoli-chianti-classico/w/1135556?year=2015&price_id=15970667
Alta Vista,Classic Reserva Cabernet Sauvignon 2016,Argentina,Mendoza,3.6,253,https://www.vivino.com/alta-vista-classic-reserva-cabernet-sauvignon/w/2102365?year=2016&price_id=15404858
Château Hautes Terres,Bordeaux 2018,France,Bordeaux,3.6,252,https://www.vivino.com/hautes-terres-bordeaux/w/1136351?year=2018&price_id=19577410
Graffigna,Grand Reserve Cabernet Sauvignon 2007,Argentina,San Juan,3.6,246,https://www.vivino.com/graffigna-grand-reserve-cabernet-sauvignon-san-juan/w/1240664?year=2007&price_id=2873740
Enate,Cabernet Sauvignon - Merlot 2017,Spain,Somontano,3.6,246,https://www.vivino.com/enate-cabernet-sauvignon-merlot/w/1154856?year=2017&price_id=21034285
Folonari,Chianti 2015,Italy,Chianti,3.6,243,https://www.vivino.com/torcalvano-gracciano-chianti/w/1301231?year=2015&price_id=18069291
Peñafiel,Baron de Filar Roble 2016,Spain,Ribera del Duero,3.6,236,https://www.vivino.com/penafiel-baron-de-filar-roble/w/4447988?year=2016&price_id=14820350
Bodegas Valdemar,Valdemoreda Tempranillo 2016,Spain,Rioja,3.6,235,https://www.vivino.com/bodegas-valdemar-valdemoreda-tempranillo/w/1206948?year=2016&price_id=17175563
Pujanza,Hado 2016,Spain,Rioja,3.6,232,https://www.vivino.com/pujanza-hado/w/1424395?year=2016&price_id=13244216
Telmo Rodriguez,Dehesa Gago G 2018,Spain,Toro,3.6,230,https://www.vivino.com/telmo-rodriguez-dehesa-gago-g/w/63104?year=2018&price_id=19531241
Dei,Rosso di Montepulciano 2018,Italy,Rosso di Montepulciano,3.6,226,https://www.vivino.com/dei-rosso-di-montepulciano/w/1145306?year=2018&price_id=21516931
De Bortoli,Bella Riva Sangiovese N.V.,Australia,King Valley,3.6,224,https://www.vivino.com/de-bortoli-bella-riva-sangiovese/w/3285857?year=N.V.&price_id=13769103
Morisfarms,Morellino di Scansano 2017,Italy,Morellino di Scansano,3.6,219,https://www.vivino.com/moris-farms-srl-morellino-di-scansano/w/1721903?year=2017&price_id=19953326
Capraia,Chianti Classico 2013,Italy,Chianti Classico,3.6,214,https://www.vivino.com/capraia-chianti-classico/w/1159846?year=2013&price_id=11134068
La Vieille Ferme,Rouge 2019,France,Vin de France,3.6,212,https://www.vivino.com/la-vieille-ferme-rouge/w/10986?year=2019&price_id=21147589
Armas de Guerra,Mencía 2014,Spain,Bierzo,3.6,208,https://www.vivino.com/armas-de-guerra-mencia/w/2054577?year=2014&price_id=2895160
Lvnae,Auxo Colli di Luni 2015,Italy,Colli di Luni,3.6,190,https://www.vivino.com/lvnae-auxo-colli-di-luni/w/1676675?year=2015&price_id=14680251
Vinica,Lame del Sorbo Tintilia del Molise 2013,Italy,Tintilia del Molise,3.6,189,https://www.vivino.com/vinica-lame-del-sorbo-tintilia-del-molise/w/2284578?year=2013&price_id=15784550
Château Lestage,Listrac-Médoc 2014,France,Listrac-Médoc,3.6,188,https://www.vivino.com/lestage-listrac-medoc/w/1166367?year=2014&price_id=17599264
Casa Mayor,Carmenère 2016,Chile,Colchagua Valley,3.6,187,https://www.vivino.com/casa-mayor-carmenere/w/1207907?year=2016&price_id=16698400
Bodegas Exopto,Bozeto de Exopto Tinto 2018,Spain,Rioja,3.6,183,https://www.vivino.com/exopto-bozeto-de-exopto-tinto/w/1706640?year=2018&price_id=20848039
Château Sainte-Marie,Vieilles Vignes Bordeaux Supérieur 2016,France,Bordeaux Supérieur,3.6,181,https://www.vivino.com/chateau-sainte-marie-vieilles-vignes-bordeaux-superieur/w/1832711?year=2016&price_id=18863774
Renato Ratti,Dolcetto d'Alba Colombé 2018,Italy,Dolcetto d'Alba,3.6,180,https://www.vivino.com/renato-ratti-dolcetto-d-alba-colombe/w/13893?year=2018&price_id=19428264
Maxime-François Laurent,Il Fait Soif Rouge 2017,France,Côtes-du-Rhône,3.6,178,https://www.vivino.com/maxime-francois-laurent-il-fait-soif-rouge/w/1219690?year=2017&price_id=20962729
Gómez Cruzado,Crianza 2016,Spain,Rioja,3.6,172,https://www.vivino.com/gomez-cruzado-crianza/w/1787205?year=2016&price_id=13955526
Domaine Chignard,Fleurie Les Moriers 2011,France,Fleurie,3.6,169,https://www.vivino.com/domaine-chignard-fleurie-les-moriers/w/1111790?year=2011&price_id=8840120
Clos Lentiscus,Perill Noir 2011,Spain,Penedès,3.6,169,https://www.vivino.com/clos-lentiscus-perill-noir/w/3753812?year=2011&price_id=15354144
La Braccesca,Sabazio 2017,Italy,Rosso di Montepulciano,3.6,166,https://www.vivino.com/la-braccesca-sabazio/w/1672?year=2017&price_id=19672996
Mandrarossa,Timperosse 2018,Italy,Terre Siciliane,3.6,166,https://www.vivino.com/it-mandrarossa-timperosse/w/1525768?year=2018&price_id=19797679
Weninger,Horitschoner Blaufränkisch 2016,Austria,Mittelburgenland,3.6,165,https://www.vivino.com/weninger-horitschoner-blaufrankisch/w/1583942?year=2016&price_id=18450177
Castillo Perelada,Empordà Cigonyes Tinto 2016,Spain,Empordà,3.6,159,https://www.vivino.com/castillo-perelada-emporda-cigonyes-tinto/w/1316403?year=2016&price_id=13923113
Suertes del Marqués,La Solana Listan Negro Cordón Trenzado 2017,Spain,Valle de la Orotava,3.6,159,https://www.vivino.com/suertes-del-marques-la-solana-listan-negro-cordon-trenzado/w/2132650?year=2017&price_id=17038822
Casas Patronales,Syrah Reserva 2013,Chile,Maule Valley,3.6,157,https://www.vivino.com/casas-patronales-syrah-reserva/w/1117450?year=2013&price_id=10462349
Castillo de Monjardin,Coupage Selección Crianza 2016,Spain,Navarra,3.6,156,https://www.vivino.com/es-castillo-de-monjardin-coupage-seleccion-crianza/w/1776643?year=2016&price_id=19572448
Tommasi,Le Pruneé Merlot 2017,Italy,delle Venezie,3.6,156,https://www.vivino.com/tommasi-le-prunee-merlot/w/7090?year=2017&price_id=18167791
Altanza,Rioja Crianza Edulis 2016,Spain,Rioja,3.6,155,https://www.vivino.com/altanza-rioja-crianza-edulis/w/1247469?year=2016&price_id=13114821
Pandolfa,Federico Sangiovese Superiore 2018,Italy,Romagna,3.6,152,https://www.vivino.com/la-pandolfa-federico-sangiovese-superiore/w/4300902?year=2018&price_id=18648641
Nicosia,Vulkà Etna Rosso 2017,Italy,Etna,3.6,146,https://www.vivino.com/nicosia-vulka-etna-rosso/w/2474876?year=2017&price_id=19474928
Istine,Chianti Classico 2017,Italy,Chianti Classico,3.6,145,https://www.vivino.com/istine-chianti-classico/w/1454953?year=2017&price_id=19053075
Cantine due Palme,Canonico Negroamaro Salento 2018,Italy,Salento,3.6,143,https://www.vivino.com/due-palme-canonico-negroamaro-salento/w/8058?year=2018&price_id=18648399
Château Haut-Lalande,Blaye - Côtes de Bordeaux 2017,France,Blaye - Côtes de Bordeaux,3.6,143,https://www.vivino.com/fr-chateau-haut-lalande-blaye-cotes-de-bordeaux/w/1184431?year=2017&price_id=21598550
Markowitsch,Carnuntum Cuvée 2016,Austria,Carnuntum,3.6,137,https://www.vivino.com/markowitsch-carnuntum-cuvee/w/96889?year=2016&price_id=9998689
Mas de Libian,Khayyâm 2018,France,Côtes-du-Rhône,3.6,120,https://www.vivino.com/mas-de-libian-khayyam/w/19319?year=2018&price_id=20562414
Montes,Malbec (Classic) 2017,Chile,Colchagua Valley,3.6,117,https://www.vivino.com/montes-malbec-classic/w/71394?year=2017&price_id=19461221
Paolo Scavino,Dolcetto D'Alba 2016,Italy,Piemonte,3.6,116,https://www.vivino.com/paolo-scavino-dolcetto-d-alba/w/75781?year=2016&price_id=12593709
L . Tramier & Fils,Coteaux Bourguignons 2015,France,Coteaux Bourguignons,3.6,115,https://www.vivino.com/tramier-l-and-fils-coteaux-bourguignons/w/2734286?year=2015&price_id=15786338
Finca La Estacada,Ocho y Medio Tinto Velasco 2017,Spain,Castilla,3.6,109,https://www.vivino.com/finca-la-estacada-ocho-y-medio-tinto-velasco-castilla-la-mancha/w/5197184?year=2017&price_id=21454000
Ferdinando Principiano,Dolcetto d'Alba Sant'Anna 2018,Italy,Dolcetto d'Alba,3.6,109,https://www.vivino.com/azienda-agricola-ferdinando-principiano-dolcetto-d-alba-sant-anna/w/1213817?year=2018&price_id=19106336
Majella,The Musician Cabernet - Shiraz 2016,Australia,Coonawarra,3.6,108,https://www.vivino.com/majella-the-musician-cabernet-shiraz/w/24013?year=2016&price_id=19843629
Società Agricola Fay,Sandro Fay Costa Bassa Valtellina Superiore 2016,Italy,Valtellina Superiore,3.6,107,https://www.vivino.com/sandro-fay-sandro-fay-costa-bassa-valtellina-superiore/w/1395647?year=2016&price_id=20890083
Campo Al Moro,Chianti Classico 2016,Italy,Chianti Classico,3.6,106,https://www.vivino.com/campo-al-moro-chianti-classico/w/1274541?year=2016&price_id=18167809
Villa Pomona,Chianti Classico 2016,Italy,Chianti Classico,3.6,106,https://www.vivino.com/villa-pomona-villa-pomona-chianti-classico/w/1159410?year=2016&price_id=18425725
Dievole,Chianti Classico 2017,Italy,Chianti Classico,3.6,104,https://www.vivino.com/dievole-chianti-classico-chianti-classico-red-wine-v-hhfep/w/4365029?year=2017&price_id=21499346
Severino Garofano,Eloquenzia 2015,Italy,Copertino,3.6,103,https://www.vivino.com/severino-garofano-eloquenzia-rosso/w/1458006?year=2015&price_id=20617459
Castello della Paneretta,Chianti Classico Riserva 2015,Italy,Chianti Classico,3.6,102,https://www.vivino.com/castello-della-paneretta-chianti-classico-riserva/w/1099919?year=2015&price_id=20890198
Nino Negri,Grumello Valtellina Superiore 2016,Italy,Valtellina Superiore,3.6,100,https://www.vivino.com/nino-negri-grumello-valtellina-superiore/w/28354?year=2016&price_id=20102974
Napolini,Montefalco Rosso 2016,Italy,Montefalco,3.6,99,https://www.vivino.com/napolini-montefalco-rosso/w/1195725?year=2016&price_id=18875220
Montevetrano,Core Campania Tinto 2016,Italy,Campania,3.6,99,https://www.vivino.com/montevetrano-azienda-agricola-core-campania-tinto/w/1509156?year=2016&price_id=21034602
Baglio di Pianetto,Frappato 2018,Italy,Terre Siciliane,3.6,97,https://www.vivino.com/baglio-di-pianetto-frappato/w/1805289?year=2018&price_id=18818528
Umathum,Sankt Laurent 2017,Austria,Burgenland,3.6,96,https://www.vivino.com/umathum-sankt-laurent/w/1501467?year=2017&price_id=18087021
Château Revelette,Coteaux d'Aix en Provence Rouge 2017,France,Coteaux d'Aix-en-Provence,3.6,96,https://www.vivino.com/chateau-revelette-coteaux-d-aix-en-provence-rouge/w/91794?year=2017&price_id=15621165
Martí Fabra,L'Oratori Empordà 2018,Spain,Empordà,3.6,90,https://www.vivino.com/celler-marti-fabra-l-oratori-emporda/w/1173849?year=2018&price_id=19873052
Bergulé,Melnik - Pinot Noir 2014,Bulgaria,Thracian Valley,3.6,90,https://www.vivino.com/bergule-melnik-pinot-noir/w/3934217?year=2014&price_id=16198963
Château du Chatelard,Cuvée Les Vieilles Vignes Beaujolais-Villages 2017,France,Beaujolais-Villages,3.6,89,https://www.vivino.com/chatelard-cuvee-les-vieilles-vignes-beaujolais-villages/w/2209434?year=2017&price_id=19767060
Louis Latour,Bourgogne Cuvée Latour 2018,France,Bourgogne,3.6,88,https://www.vivino.com/louis-latour-bourgogne-cuvee-latour/w/7225?year=2018&price_id=19873064
Castillo Perelada,Empordà Cigonyes Tinto 2017,Spain,Empordà,3.6,88,https://www.vivino.com/castillo-perelada-emporda-cigonyes-tinto/w/1316403?year=2017&price_id=16236886
Firriato,Le Sabbie dell’Etna Rosso 2018,Italy,Etna,3.6,88,https://www.vivino.com/casa-vinicola-firriato-le-sabbie-dell-etna-rosso/w/2324457?year=2018&price_id=21026623
Reverdito,Barbera d'Alba Butti 2016,Italy,Barbera d'Alba,3.6,87,https://www.vivino.com/reverdito-barbera-d-alba-butti/w/1144129?year=2016&price_id=21042708
Domaine Richaud,Les Buisserons Côtes du Rhône 2018,France,Côtes-du-Rhône,3.6,86,https://www.vivino.com/domaine-richaud-les-buisserons-cotes-du-rhone-cotes-du-rhone-red-wine/w/6470758?year=2018&price_id=19219533
Nicolucci,Tre Rocche Sangiovese 2018,Italy,Emilia-Romagna,3.6,86,https://www.vivino.com/nicolucci-tre-rocche-sangiovese/w/1221914?year=2018&price_id=20727774
Girlan,Fass Nr. 9 Vernatsch 2018,Italy,Südtirol - Alto Adige,3.6,84,https://www.vivino.com/girlan-fass-nr-9-vernatsch/w/1966435?year=2018&price_id=19506189
Azienda Agricola Sergio Arcuri,Aris Cirò Rosso Classico Superiore 2014,Italy,Cirò,3.6,84,https://www.vivino.com/azienda-agricola-sergio-arcuri-aris-ciro-rosso-classico-superiore/w/1256966?year=2014&price_id=13497632
Carchelo,Carchelo (C) 2009,Spain,Jumilla,3.6,84,https://www.vivino.com/carchelo-carchelo-c/w/77868?year=2009&price_id=14650364
Vinos a Tresbolillo,Tirachinas 2016,Spain,Bierzo,3.6,84,https://www.vivino.com/vinos-tresbolillo-tirachinas/w/5090739?year=2016&price_id=14054488
Yves Cuilleron,Syrah Les Candives 2016,France,Collines Rhodaniennes,3.6,83,https://www.vivino.com/domaine-yves-cuilleron-syrah-les-candives/w/97908?year=2016&price_id=14003527
La Valentina,Spelt Montepulciano d'Abruzzo (Riserva) 2016,Italy,Montepulciano d'Abruzzo,3.6,82,https://www.vivino.com/fattoria-la-valentina-spelt-montepulciano-d-abruzzo-riserva/w/23382?year=2016&price_id=20003599
Château Grand Village,Bordeaux 2013,France,Bordeaux,3.6,81,https://www.vivino.com/chateau-grand-village-chateau-grand-village-bordeaux/w/1209296?year=2013&price_id=8528519
Alvear,Palacio Quemado La Zarcita 2017,Spain,Ribera del Guadiana,3.6,80,https://www.vivino.com/alvear-palacio-quemado-la-zarcita/w/1915135?year=2017&price_id=20403029
Martúe,Campo de la Guardia 2014,Spain,Campo de la Guardia,3.6,79,https://www.vivino.com/martue-campo-de-la-guardia/w/1172697?year=2014&price_id=13085467
Nino Negri,Sassella Valtellina Superiore 2017,Italy,Valtellina Superiore,3.6,79,https://www.vivino.com/nino-negri-sassella-valtellina-superiore/w/1219823?year=2017&price_id=20614592
Tetramythos,Agiorgitiko 2018,Greece,Peloponnesos,3.6,79,https://www.vivino.com/tetramythos-agiorgitiko/w/3753534?year=2018&price_id=19414213
Gradis'Ciutta,Cabernet Franc Collio 2015,Italy,Collio,3.6,75,https://www.vivino.com/gradis-ciutta-cabernet-franc-collio/w/1718575?year=2015&price_id=15133159
Pojer e Sandri,Pinot Nero Dolomiti 2012,Italy,Vigneti delle Dolomiti,3.6,75,https://www.vivino.com/pojer-e-sandri-pinot-nero-dolomiti/w/1388459?year=2012&price_id=20159981
Matteo Correggia,Anthos 2015,Italy,Vino d'Italia,3.6,72,https://www.vivino.com/it-matteo-correggia-anthos/w/2099837?year=2015&price_id=11133099
Cecchi,Chianti Classico Riserva di Famiglia 2016,Italy,Chianti Classico,3.6,70,https://www.vivino.com/casa-vinicola-luigi-cecchi-e-figli-chianti-classico-riserva-di-famiglia/w/1137292?year=2016&price_id=20103023
